root,pos,common
tuŝi,misc,False
tuta,A,True
-u,suf,True
-uj,suf,True
-ul,suf,True
"-um
",suf,True
universala,A,True
universitato,N,True
unu,misc,True
urbo,N,True
utila,A,True
-us,suf,True
uzi,misc,True
vagono,N,True
valida,A,False
valoro,N,True
varma,A,True
vasta,A,False
veki,misc,False
veni,misc,True
vendi,misc,True
vendredo,N,True
venki,misc,False
vento,N,False
vera,A,True
verda,A,False
verki,misc,True
vespero,N,True
vesto,N,True
vetero,N,False
veturi,misc,True
vi,misc,True
viando,N,True
vico,N,False
vidi,misc,True
vigla,A,False
vilaĝo,N,True
vino,N,False
vintro,N,True
viro,N,True
viŝi,misc,False
vitro,N,False
vivi,VI,False
vizaĝo,N,False
viziti,misc,True
voĉo,N,False
vojo,N,True
vojaĝi,misc,True
voki,misc,False
voli,misc,True
volvi,misc,False
vorto,N,True
vosto,N,False
zorgi,misc,True
